159	85
20	114
19	117
134	141
178	162
52	161
10	188
171	61
145	22
99	44
107	145
78	54
6	145
65	25
28	164
166	47
36	17
44	6
112	93
13	105
163	164
56	168
192	183
9	85
146	54
120	83
73	170
2	77
110	40
14	48
87	91
122	198
61	129
180	89
134	183
190	132
116	143
75	193
52	66
148	195
89	18
58	103
144	105
23	6
76	182
138	138
140	100
3	3
154	173
19	173
29	147
99	136
17	40
24	31
62	74
96	91
78	41
176	84
172	152
124	118
17	173
199	199
119	20
56	85
63	62
33	17
125	188
109	73
149	124
121	189
52	162
152	161
106	178
116	41
17	191
199	116
194	188
117	80
137	76
53	86
51	132
144	48
83	61
47	41
18	77
199	153
100	47
185	58
186	144
80	7
163	194
33	45
105	53
170	16
54	121
177	61
6	138
28	108
187	60
125	166
119	32
138	41
17	129
134	51
22	67
159	55
149	100
106	154
70	68
152	199
128	85
19	180
4	166
195	186
135	82
160	58
198	164
181	145
11	128
53	174
197	110
137	8
12	16
161	128
38	73
94	99
23	136
171	179
59	106
112	60
127	16
75	96
67	114
179	102
124	105
31	198
78	63
182	109
76	129
164	145
97	175
4	125
47	34
108	138
25	135
13	93
135	166
182	118
180	50
30	154
112	144
78	86
13	123
24	189
127	14
145	168
195	82
173	167
91	88
31	17
20	61
122	17
60	88
185	67
85	7
106	124
56	78
91	137
55	74
74	38
34	7
130	140
18	70
163	46
108	51
61	11
86	57
149	174
143	52
10	71
11	169
109	157
155	118
152	40
53	42
5	30
67	114
19	126
128	133
15	112
155	176
167	13
179	91
18	96
90	88
162	147
76	177
63	45
188	113
95	63
141	2
140	49
171	85
72	73
200	187
60	38
137	170
189	136
0	72
96	26
69	39
21	123
10	166
79	180
65	78
38	16
192	24
168	160
198	55
169	168
